Invoice,Quantity,InvoiceDate,Price,Customer ID,Country,Amount
555199,1,6/1/2011 12:05,2.95,14606.0,United Kingdom,2.95
554974,30,5/27/2011 17:14,3.95,14031.0,United Kingdom,118.5
579187,13,11/28/2011 15:31,1.63,,United Kingdom,21.19
573546,2,10/31/2011 13:13,4.95,15974.0,United Kingdom,9.9
546157,2,3/10/2011 8:40,9.95,13502.0,United Kingdom,19.9
575618,4,11/10/2011 12:57,3.95,15463.0,United Kingdom,15.8
580635,12,12/5/2011 12:30,0.42,14649.0,United Kingdom,5.04
568908,25,9/29/2011 13:38,0.42,16653.0,United Kingdom,10.5
550128,1,4/14/2011 13:13,2.95,,United Kingdom,2.95
C559742,-12,7/12/2011 11:11,3.75,14267.0,United Kingdom,-45.0
545721,1,3/7/2011 10:52,7.9,15039.0,United Kingdom,7.9
578664,2,11/24/2011 16:59,0.39,15910.0,United Kingdom,0.78
560090,5,7/14/2011 16:46,8.29,,United Kingdom,41.45
560120,6,7/15/2011 10:27,2.95,14907.0,United Kingdom,17.7
540418,5,1/7/2011 11:04,0.81,,United Kingdom,4.05
546237,6,3/10/2011 12:50,2.55,16625.0,United Kingdom,15.3
565118,2,9/1/2011 11:33,1.65,15039.0,United Kingdom,3.3
539000,4,12/15/2010 12:27,9.95,13092.0,United Kingdom,39.8
545715,1,3/7/2011 10:13,4.13,,United Kingdom,4.13
C572491,-1,10/24/2011 14:02,4.95,13047.0,United Kingdom,-4.95
571931,2,10/19/2011 16:59,5.79,,United Kingdom,11.58
568721,1,9/28/2011 16:24,0.83,,United Kingdom,0.83
560876,12,7/21/2011 15:14,3.75,12626.0,Germany,45.0
537159,1,12/5/2010 13:17,2.95,14527.0,United Kingdom,2.95
565841,2,9/7/2011 12:04,2.46,,United Kingdom,4.92
536532,2,12/1/2010 13:24,7.95,12433.0,Norway,15.9
C556896,-6,6/15/2011 12:51,0.65,12843.0,United Kingdom,-3.9
578265,12,11/23/2011 13:28,0.79,13018.0,United Kingdom,9.48
572306,1,10/23/2011 15:11,1.65,17841.0,United Kingdom,1.65
560723,3,7/20/2011 13:53,0.83,16464.0,United Kingdom,2.49
558066,1,6/24/2011 15:45,0.83,,United Kingdom,0.83
545227,24,3/1/2011 9:35,0.85,12428.0,Finland,20.4
549577,12,4/11/2011 8:16,0.42,14286.0,United Kingdom,5.04
574700,2,11/6/2011 13:53,0.55,16033.0,United Kingdom,1.1
538163,2,12/9/2010 17:27,6.75,17841.0,United Kingdom,13.5
561043,24,7/24/2011 12:20,0.85,15708.0,United Kingdom,20.4
557792,1,6/22/2011 16:44,14.95,16987.0,United Kingdom,14.95
563076,100,8/11/2011 16:12,1.45,14646.0,Netherlands,145.0
546731,12,3/16/2011 11:39,1.45,13089.0,United Kingdom,17.4
581376,4,12/8/2011 12:43,0.65,14719.0,United Kingdom,2.6
540468,1,1/7/2011 13:55,2.51,,United Kingdom,2.51
545701,10,3/6/2011 15:17,6.75,17107.0,United Kingdom,67.5
555548,72,6/5/2011 13:16,0.85,17811.0,United Kingdom,61.2
561708,12,7/29/2011 11:28,1.25,13575.0,United Kingdom,15.0
571441,2,10/17/2011 13:31,1.63,14096.0,United Kingdom,3.26
578017,1,11/22/2011 13:07,12.75,13569.0,United Kingdom,12.75
538449,2,12/12/2010 12:24,2.1,17085.0,United Kingdom,4.2
536531,9,12/1/2010 13:23,3.75,15485.0,United Kingdom,33.75
581023,1,12/7/2011 10:35,8.29,,United Kingdom,8.29
540681,1,1/10/2011 16:25,7.62,,United Kingdom,7.62
562378,5,8/4/2011 15:07,0.95,15046.0,United Kingdom,4.75
568144,12,9/25/2011 11:29,0.79,14005.0,United Kingdom,9.48
566951,6,9/15/2011 16:36,2.95,17293.0,United Kingdom,17.7
547788,1,3/25/2011 12:00,2.46,,United Kingdom,2.46
579520,1,11/29/2011 18:14,3.75,12748.0,United Kingdom,3.75
567617,6,9/21/2011 12:25,3.75,15140.0,United Kingdom,22.5
565594,12,9/5/2011 14:11,1.25,13510.0,United Kingdom,15.0
580140,4,12/2/2011 9:19,4.15,14895.0,United Kingdom,16.6
563555,36,8/17/2011 13:21,0.21,16755.0,United Kingdom,7.56
565117,4,9/1/2011 11:33,5.75,13089.0,United Kingdom,23.0
546891,1,3/17/2011 18:18,4.13,,United Kingdom,4.13
536593,2,12/1/2010 17:15,7.95,16835.0,United Kingdom,15.9
565419,4,9/4/2011 12:07,3.75,13808.0,United Kingdom,15.0
C569959,-3,10/6/2011 18:39,0.85,13983.0,United Kingdom,-2.55
557854,3,6/23/2011 11:38,0.55,13268.0,United Kingdom,1.65
554938,2,5/27/2011 13:34,12.75,12876.0,Belgium,25.5
578811,4,11/25/2011 13:28,4.15,12438.0,Norway,16.6
578998,1,11/27/2011 16:05,8.5,15436.0,United Kingdom,8.5
564835,1,8/30/2011 12:31,4.13,,United Kingdom,4.13
564752,18,8/30/2011 10:07,2.95,16126.0,United Kingdom,53.1
555207,6,6/1/2011 12:19,2.1,16818.0,United Kingdom,12.6
547385,1,3/22/2011 15:48,0.83,,United Kingdom,0.83
543021,6,2/2/2011 14:36,2.55,15421.0,United Kingdom,15.3
575070,3,11/8/2011 12:58,1.25,17841.0,United Kingdom,3.75
544322,24,2/17/2011 15:50,0.85,14211.0,United Kingdom,20.4
570019,1,10/7/2011 10:13,1.25,17841.0,United Kingdom,1.25
553900,6,5/19/2011 17:47,2.95,12353.0,Bahrain,17.7
580047,1,12/1/2011 12:44,4.15,12989.0,United Kingdom,4.15
580610,12,12/5/2011 11:48,4.13,,United Kingdom,49.56
540464,8,1/7/2011 13:17,3.81,14298.0,United Kingdom,30.48
548337,2,3/30/2011 14:06,1.65,18198.0,United Kingdom,3.3
551173,5,4/26/2011 16:54,2.08,,United Kingdom,10.4
571476,7,10/17/2011 14:51,1.45,13546.0,United Kingdom,10.15
578024,8,11/22/2011 13:27,1.95,12705.0,Germany,15.6
544646,4,2/22/2011 12:06,5.45,17075.0,United Kingdom,21.8
548364,53,3/30/2011 15:49,0.0,,United Kingdom,0.0
542112,1,1/25/2011 13:55,2.1,13168.0,United Kingdom,2.1
566203,1,9/9/2011 14:47,2.08,16362.0,United Kingdom,2.08
C579886,-2,11/30/2011 17:39,14.95,15676.0,United Kingdom,-29.9
546927,12,3/18/2011 10:15,3.75,16672.0,United Kingdom,45.0
556304,20,6/10/2011 10:29,1.65,12840.0,United Kingdom,33.0
540114,8,1/5/2011 9:44,4.25,15498.0,United Kingdom,34.0
564742,1,8/28/2011 15:01,1.25,17346.0,United Kingdom,1.25
564654,24,8/26/2011 14:29,0.85,14911.0,EIRE,20.4
538658,2,12/13/2010 15:34,5.95,17969.0,United Kingdom,11.9
541181,16,1/14/2011 11:50,4.95,12877.0,United Kingdom,79.2
568716,1,9/28/2011 16:13,0.83,,United Kingdom,0.83
569262,8,10/3/2011 11:36,1.95,14815.0,United Kingdom,15.6
546396,4,3/11/2011 14:35,2.1,13226.0,United Kingdom,8.4
567462,5,9/20/2011 12:35,1.25,14446.0,United Kingdom,6.25
579093,32,11/28/2011 10:54,2.55,13081.0,United Kingdom,81.6
567280,100,9/19/2011 11:46,1.79,14646.0,Netherlands,179.0
555925,2,6/7/2011 17:13,1.63,,United Kingdom,3.26
552005,12,5/5/2011 16:34,2.95,15491.0,United Kingdom,35.4
570178,3,10/7/2011 14:23,6.95,16558.0,United Kingdom,20.85
576933,6,11/17/2011 11:29,0.85,15529.0,United Kingdom,5.1
574877,72,11/7/2011 13:17,0.38,16637.0,United Kingdom,27.36
556812,4,6/14/2011 17:25,0.83,,United Kingdom,3.32
550350,1,4/18/2011 10:04,16.95,15491.0,United Kingdom,16.95
555602,12,6/6/2011 11:26,1.25,16235.0,United Kingdom,15.0
540154,4,1/5/2011 11:30,8.47,,United Kingdom,33.88
576851,20,11/16/2011 15:41,0.85,15967.0,United Kingdom,17.0
540121,36,1/5/2011 10:35,0.21,16145.0,United Kingdom,7.56
580367,1,12/2/2011 16:39,0.42,,United Kingdom,0.42
543172,6,2/4/2011 9:11,1.63,,United Kingdom,9.78
554929,12,5/27/2011 13:16,1.45,13018.0,United Kingdom,17.4
561022,5,7/24/2011 10:24,4.15,14800.0,United Kingdom,20.75
570516,12,10/11/2011 10:39,0.42,14121.0,United Kingdom,5.04
544684,1,2/22/2011 16:32,19.96,,United Kingdom,19.96
537469,24,12/7/2010 10:43,4.25,17720.0,United Kingdom,102.0
578307,1,11/23/2011 15:53,2.1,17290.0,United Kingdom,2.1
559693,2,7/11/2011 16:21,0.83,,United Kingdom,1.66
543979,5,2/14/2011 15:43,1.65,14606.0,United Kingdom,8.25
548893,1,4/4/2011 15:54,3.29,,United Kingdom,3.29
580317,20,12/2/2011 15:29,1.65,13458.0,United Kingdom,33.0
560576,1,7/19/2011 14:59,7.95,17287.0,United Kingdom,7.95
578065,1,11/22/2011 15:41,0.83,,United Kingdom,0.83
564373,36,8/25/2011 9:56,1.65,15290.0,United Kingdom,59.4
570724,16,10/12/2011 11:22,0.65,12602.0,France,10.4
546643,6,3/15/2011 13:23,2.55,16214.0,United Kingdom,15.3
554842,4,5/26/2011 18:17,3.75,14740.0,United Kingdom,15.0
552247,1,5/6/2011 19:48,2.95,12748.0,United Kingdom,2.95
560041,6,7/14/2011 14:46,2.55,14156.0,EIRE,15.3
540468,2,1/7/2011 13:55,2.51,,United Kingdom,5.02
575089,2,11/8/2011 14:02,8.25,13437.0,United Kingdom,16.5
566048,10,9/8/2011 14:21,1.25,16558.0,United Kingdom,12.5
577853,2,11/22/2011 11:13,7.95,13681.0,United Kingdom,15.9
540646,1,1/10/2011 14:32,0.85,,United Kingdom,0.85
544724,24,2/23/2011 10:46,2.1,15605.0,United Kingdom,50.4
548636,12,4/1/2011 12:29,2.08,15601.0,United Kingdom,24.96
570258,1,10/10/2011 9:56,4.13,,United Kingdom,4.13
552469,5,5/9/2011 15:34,0.95,12867.0,United Kingdom,4.75
578270,1,11/23/2011 13:39,1.63,14096.0,United Kingdom,1.63
546008,1,3/8/2011 15:43,3.29,,United Kingdom,3.29
580025,3,12/1/2011 11:53,1.25,15021.0,United Kingdom,3.75
581439,1,12/8/2011 16:30,2.46,,United Kingdom,2.46
575688,4,11/10/2011 16:15,2.1,18230.0,United Kingdom,8.4
576615,3,11/15/2011 16:42,0.29,17231.0,United Kingdom,0.87
557644,2,6/21/2011 17:06,4.13,,United Kingdom,8.26
579297,2,11/29/2011 11:23,2.46,,United Kingdom,4.92
557854,4,6/23/2011 11:38,1.69,13268.0,United Kingdom,6.76
558759,7,7/3/2011 12:36,4.25,13148.0,United Kingdom,29.75
579777,3,11/30/2011 15:13,7.46,,United Kingdom,22.38
573396,1,10/30/2011 15:13,0.39,14723.0,United Kingdom,0.39
537372,2,12/6/2010 12:52,4.65,16919.0,United Kingdom,9.3
547372,2,3/22/2011 13:46,4.95,16374.0,United Kingdom,9.9
573876,1,11/1/2011 12:48,0.85,16360.0,United Kingdom,0.85
567792,12,9/22/2011 11:40,0.83,17581.0,United Kingdom,9.96
559162,1,7/6/2011 16:29,0.83,,United Kingdom,0.83
542255,6,1/26/2011 16:43,5.79,,United Kingdom,34.74
560724,12,7/20/2011 13:55,2.49,16186.0,United Kingdom,29.88
569126,36,9/30/2011 13:28,1.06,13347.0,United Kingdom,38.16
578065,1,11/22/2011 15:41,1.63,,United Kingdom,1.63
541827,1,1/21/2011 17:05,4.13,,United Kingdom,4.13
549722,2,4/11/2011 15:59,0.55,17236.0,United Kingdom,1.1
547708,288,3/24/2011 18:34,1.7,17450.0,United Kingdom,489.6
555633,1,6/6/2011 12:22,9.95,14534.0,United Kingdom,9.95
545812,12,3/7/2011 12:26,1.65,14214.0,United Kingdom,19.8
550512,2,4/18/2011 16:31,0.65,18069.0,United Kingdom,1.3
554707,100,5/26/2011 10:15,2.55,14101.0,United Kingdom,255.0
576052,4,11/13/2011 14:48,1.25,15787.0,United Kingdom,5.0
580916,1,12/6/2011 13:45,0.79,13685.0,United Kingdom,0.79
539466,12,12/19/2010 12:46,0.85,12668.0,Germany,10.2
570252,12,10/10/2011 9:14,2.55,14665.0,United Kingdom,30.6
574653,20,11/6/2011 11:30,1.65,12619.0,Germany,33.0
547921,12,3/28/2011 13:28,1.25,14766.0,United Kingdom,15.0
572224,40,10/21/2011 13:46,2.55,16558.0,United Kingdom,102.0
548163,1,3/29/2011 13:43,1.63,,United Kingdom,1.63
570488,2,10/10/2011 17:12,4.13,14096.0,United Kingdom,8.26
540809,24,1/11/2011 12:37,0.65,18095.0,United Kingdom,15.6
558475,1,6/29/2011 15:58,7.46,,United Kingdom,7.46
C569410,-6,10/4/2011 9:48,1.65,13364.0,United Kingdom,-9.9
555275,1,6/1/2011 17:18,1.63,,United Kingdom,1.63
567668,1,9/21/2011 15:29,8.29,,United Kingdom,8.29
550251,12,4/15/2011 11:44,0.42,14323.0,United Kingdom,5.04
546388,2,3/11/2011 13:42,4.96,,United Kingdom,9.92
547514,6,3/23/2011 14:00,2.95,17486.0,United Kingdom,17.7
553037,8,5/13/2011 8:10,2.25,12471.0,Germany,18.0
569202,1,9/30/2011 17:22,5.79,,United Kingdom,5.79
566589,10,9/13/2011 14:50,2.08,14753.0,United Kingdom,20.8
579885,2,11/30/2011 17:37,5.45,15444.0,United Kingdom,10.9
581492,1,12/9/2011 10:03,16.63,,United Kingdom,16.63
574059,24,11/2/2011 14:13,0.42,14646.0,Netherlands,10.08
542541,1,1/28/2011 14:25,3.29,,United Kingdom,3.29
542423,48,1/28/2011 9:09,0.55,15057.0,United Kingdom,26.4
554941,3,5/27/2011 13:53,4.95,16016.0,United Kingdom,14.85
568328,2,9/26/2011 14:06,3.75,18016.0,United Kingdom,7.5
566041,24,9/8/2011 13:48,3.75,13814.0,Germany,90.0
541129,1,1/14/2011 10:14,7.46,,United Kingdom,7.46
569905,2,10/6/2011 16:28,9.95,13549.0,United Kingdom,19.9
573822,20,11/1/2011 11:33,2.08,15527.0,United Kingdom,41.6
549295,2,4/7/2011 19:49,5.79,,United Kingdom,11.58
549257,1,4/7/2011 12:29,2.08,14465.0,United Kingdom,2.08
556072,6,6/8/2011 14:57,5.45,16126.0,United Kingdom,32.7
571281,5,10/16/2011 13:23,10.95,14088.0,United Kingdom,54.75
571937,24,10/20/2011 9:28,1.65,14911.0,EIRE,39.6
556826,1,6/15/2011 10:25,2.46,,United Kingdom,2.46
561295,1,7/26/2011 12:28,0.85,15311.0,United Kingdom,0.85
542208,120,1/26/2011 11:35,0.42,16422.0,United Kingdom,50.4
555515,1,6/5/2011 10:47,8.5,17690.0,United Kingdom,8.5
541302,12,1/17/2011 14:18,0.85,13769.0,United Kingdom,10.2
580695,1,12/5/2011 16:03,1.25,13230.0,United Kingdom,1.25
540639,24,1/10/2011 12:28,0.65,13107.0,United Kingdom,15.6
568065,2,9/23/2011 13:44,145.0,16240.0,United Kingdom,290.0
558066,1,6/24/2011 15:45,4.13,,United Kingdom,4.13
576508,6,11/15/2011 12:02,0.39,17777.0,United Kingdom,2.34
537645,3,12/7/2010 15:34,2.51,,United Kingdom,7.53
571443,6,10/17/2011 13:43,2.1,17785.0,United Kingdom,12.6
538566,1,12/13/2010 11:21,8.47,,United Kingdom,8.47
540550,4,1/10/2011 9:11,2.95,12539.0,Spain,11.8
571274,1,10/16/2011 12:25,4.25,16934.0,United Kingdom,4.25
541711,12,1/21/2011 11:18,8.95,14646.0,Netherlands,107.4
552229,1,5/6/2011 15:40,0.83,,United Kingdom,0.83
560209,8,7/15/2011 14:05,2.49,15004.0,United Kingdom,19.92
577699,10,11/21/2011 12:06,1.95,13971.0,United Kingdom,19.5
561626,8,7/28/2011 14:03,1.69,14898.0,United Kingdom,13.52
549933,6,4/13/2011 11:04,2.95,15230.0,United Kingdom,17.7
563764,5,8/19/2011 11:15,1.25,14606.0,United Kingdom,6.25
569493,2,10/4/2011 13:35,8.25,13317.0,United Kingdom,16.5
570426,12,10/10/2011 13:55,1.65,13352.0,United Kingdom,19.8
561515,7,7/27/2011 15:16,4.13,,United Kingdom,28.91
569862,96,10/6/2011 14:43,0.19,14518.0,United Kingdom,18.24
573412,4,10/30/2011 16:11,4.95,13870.0,United Kingdom,19.8
570210,1,10/9/2011 10:48,1.45,13259.0,United Kingdom,1.45
544695,10,2/23/2011 9:38,1.65,14276.0,United Kingdom,16.5
562085,6,8/2/2011 12:27,2.1,15228.0,United Kingdom,12.6
544484,24,2/21/2011 11:10,1.25,15321.0,United Kingdom,30.0
565232,1,9/2/2011 9:30,4.13,,United Kingdom,4.13
540414,2,1/7/2011 10:32,8.5,12481.0,Germany,17.0
541219,5,1/14/2011 14:06,8.29,,United Kingdom,41.45
566431,12,9/12/2011 14:39,1.25,18180.0,United Kingdom,15.0
552660,4,5/10/2011 15:03,5.79,,United Kingdom,23.16
555243,12,6/1/2011 13:52,2.95,13475.0,United Kingdom,35.4
569545,2,10/4/2011 16:37,0.79,,United Kingdom,1.58
547075,12,3/20/2011 14:35,0.65,15288.0,United Kingdom,7.8
559055,1,7/5/2011 17:09,2.46,,United Kingdom,2.46
572746,3,10/25/2011 16:30,1.65,13263.0,United Kingdom,4.95
540856,4,1/12/2011 10:16,14.95,16655.0,United Kingdom,59.8
537852,12,12/8/2010 15:56,1.25,17340.0,United Kingdom,15.0
570087,3,10/7/2011 11:26,9.13,,United Kingdom,27.39
563890,1,8/19/2011 16:34,2.89,15862.0,United Kingdom,2.89
579550,2,11/30/2011 10:48,9.95,12630.0,Finland,19.9
572216,2,10/21/2011 12:56,1.95,16015.0,United Kingdom,3.9
565781,20,9/6/2011 15:34,1.65,13098.0,United Kingdom,33.0
537160,3,12/5/2010 13:18,2.1,14161.0,United Kingdom,6.3
580880,16,12/6/2011 12:19,1.95,14121.0,United Kingdom,31.2
561645,6,7/28/2011 15:16,4.15,14911.0,EIRE,24.9
578026,2,11/22/2011 13:29,8.25,17659.0,United Kingdom,16.5
542115,1,1/25/2011 14:01,2.08,,United Kingdom,2.08
579539,12,11/30/2011 10:06,1.65,14911.0,EIRE,19.8
541830,7,1/21/2011 17:09,0.42,,United Kingdom,2.94
567200,24,9/19/2011 10:15,0.55,16460.0,United Kingdom,13.2
564835,4,8/30/2011 12:31,6.95,,United Kingdom,27.8
561894,1,7/31/2011 15:00,1.65,14456.0,United Kingdom,1.65
543909,6,2/14/2011 12:32,1.45,,United Kingdom,8.7
553180,1,5/15/2011 11:35,5.95,16466.0,United Kingdom,5.95
570652,36,10/11/2011 13:45,0.39,17863.0,United Kingdom,14.04
558475,1,6/29/2011 15:58,2.46,,United Kingdom,2.46
539958,3,12/23/2010 13:26,8.47,,United Kingdom,25.41
559691,24,7/11/2011 15:52,0.42,13089.0,United Kingdom,10.08
559055,1,7/5/2011 17:09,9.15,,United Kingdom,9.15
